CEDAR
Epoch [1/150], Loss: 0.0859 ;  Train Accuracy: 55.45% ; Test Accuracy: 78.03%
Epoch [2/150], Loss: 0.0849 ;  Train Accuracy: 56.87% ; Test Accuracy: 95.45%
Epoch [3/150], Loss: 0.0842 ;  Train Accuracy: 56.72% ; Test Accuracy: 56.63%
Epoch [4/150], Loss: 0.0842 ;  Train Accuracy: 57.10% ; Test Accuracy: 72.73%
Epoch [5/150], Loss: 0.0845 ;  Train Accuracy: 57.67% ; Test Accuracy: 50.95%
Epoch [6/150], Loss: 0.0842 ;  Train Accuracy: 56.63% ; Test Accuracy: 52.65%
Epoch [7/150], Loss: 0.0833 ;  Train Accuracy: 57.39% ; Test Accuracy: 59.66%
Epoch [8/150], Loss: 0.0832 ;  Train Accuracy: 58.90% ; Test Accuracy: 50.38%
Epoch [9/150], Loss: 0.0829 ;  Train Accuracy: 59.00% ; Test Accuracy: 50.38%
Epoch [10/150], Loss: 0.0835 ;  Train Accuracy: 57.95% ; Test Accuracy: 52.08%
Epoch [11/150], Loss: 0.0823 ;  Train Accuracy: 59.14% ; Test Accuracy: 51.33%
Epoch [12/150], Loss: 0.0824 ;  Train Accuracy: 59.42% ; Test Accuracy: 52.84%
Epoch [13/150], Loss: 0.0833 ;  Train Accuracy: 57.20% ; Test Accuracy: 51.89%
Epoch [14/150], Loss: 0.0821 ;  Train Accuracy: 59.09% ; Test Accuracy: 52.27%
Epoch [15/150], Loss: 0.0817 ;  Train Accuracy: 59.75% ; Test Accuracy: 52.84%
Epoch [16/150], Loss: 0.0819 ;  Train Accuracy: 60.65% ; Test Accuracy: 53.41%
Epoch [17/150], Loss: 0.0800 ;  Train Accuracy: 62.41% ; Test Accuracy: 54.73%
Epoch [18/150], Loss: 0.0810 ;  Train Accuracy: 60.94% ; Test Accuracy: 53.79%
Epoch [19/150], Loss: 0.0804 ;  Train Accuracy: 62.59% ; Test Accuracy: 56.63%
Epoch [20/150], Loss: 0.0806 ;  Train Accuracy: 62.41% ; Test Accuracy: 56.25%
