CEDAR
Epoch [1/200], Loss: 0.2925 ;  Train Accuracy: 52.18% ; Test Accuracy: 57.58%
Epoch [2/200], Loss: 0.1842 ;  Train Accuracy: 51.04% ; Test Accuracy: 53.22%
Epoch [3/200], Loss: 0.1769 ;  Train Accuracy: 54.21% ; Test Accuracy: 56.06%
Epoch [4/200], Loss: 0.1782 ;  Train Accuracy: 53.55% ; Test Accuracy: 65.72%
Epoch [5/200], Loss: 0.1725 ;  Train Accuracy: 56.87% ; Test Accuracy: 63.64%
Epoch [6/200], Loss: 0.1702 ;  Train Accuracy: 56.39% ; Test Accuracy: 63.45%
Epoch [7/200], Loss: 0.1688 ;  Train Accuracy: 59.04% ; Test Accuracy: 67.80%
Epoch [8/200], Loss: 0.1658 ;  Train Accuracy: 60.32% ; Test Accuracy: 64.02%
Epoch [9/200], Loss: 0.1616 ;  Train Accuracy: 61.93% ; Test Accuracy: 66.29%
Epoch [10/200], Loss: 0.1612 ;  Train Accuracy: 63.45% ; Test Accuracy: 60.98%
Epoch [11/200], Loss: 0.1607 ;  Train Accuracy: 63.83% ; Test Accuracy: 60.80%
Epoch [12/200], Loss: 0.1614 ;  Train Accuracy: 62.50% ; Test Accuracy: 66.67%
Epoch [13/200], Loss: 0.1580 ;  Train Accuracy: 64.44% ; Test Accuracy: 66.48%
Epoch [14/200], Loss: 0.1575 ;  Train Accuracy: 63.73% ; Test Accuracy: 61.17%
Epoch [15/200], Loss: 0.1570 ;  Train Accuracy: 65.29% ; Test Accuracy: 67.42%
Epoch [16/200], Loss: 0.1564 ;  Train Accuracy: 64.54% ; Test Accuracy: 64.96%
Epoch [17/200], Loss: 0.1563 ;  Train Accuracy: 65.39% ; Test Accuracy: 64.77%
Epoch [18/200], Loss: 0.1539 ;  Train Accuracy: 67.14% ; Test Accuracy: 66.86%
Epoch [19/200], Loss: 0.1547 ;  Train Accuracy: 66.05% ; Test Accuracy: 69.13%
Epoch [20/200], Loss: 0.1515 ;  Train Accuracy: 67.99% ; Test Accuracy: 68.94%
Epoch [21/200], Loss: 0.1510 ;  Train Accuracy: 68.09% ; Test Accuracy: 68.94%
Epoch [22/200], Loss: 0.1482 ;  Train Accuracy: 68.56% ; Test Accuracy: 67.61%
Epoch [23/200], Loss: 0.1500 ;  Train Accuracy: 67.99% ; Test Accuracy: 67.61%
Epoch [24/200], Loss: 0.1495 ;  Train Accuracy: 68.89% ; Test Accuracy: 68.56%
Epoch [25/200], Loss: 0.1480 ;  Train Accuracy: 70.60% ; Test Accuracy: 68.94%
Epoch [26/200], Loss: 0.1474 ;  Train Accuracy: 67.99% ; Test Accuracy: 67.99%
Epoch [27/200], Loss: 0.1463 ;  Train Accuracy: 68.70% ; Test Accuracy: 68.94%
Epoch [28/200], Loss: 0.1456 ;  Train Accuracy: 69.08% ; Test Accuracy: 68.56%
Epoch [29/200], Loss: 0.1471 ;  Train Accuracy: 69.18% ; Test Accuracy: 71.40%
Epoch [30/200], Loss: 0.1461 ;  Train Accuracy: 69.70% ; Test Accuracy: 70.83%
Epoch [31/200], Loss: 0.1432 ;  Train Accuracy: 70.50% ; Test Accuracy: 63.83%
Epoch [32/200], Loss: 0.1420 ;  Train Accuracy: 71.07% ; Test Accuracy: 69.70%
Epoch [33/200], Loss: 0.1415 ;  Train Accuracy: 71.45% ; Test Accuracy: 70.45%
Epoch [34/200], Loss: 0.1394 ;  Train Accuracy: 71.31% ; Test Accuracy: 69.70%
Epoch [35/200], Loss: 0.1390 ;  Train Accuracy: 72.21% ; Test Accuracy: 72.16%
Epoch [36/200], Loss: 0.1374 ;  Train Accuracy: 72.73% ; Test Accuracy: 73.67%
Epoch [37/200], Loss: 0.1371 ;  Train Accuracy: 72.35% ; Test Accuracy: 72.92%
Epoch [38/200], Loss: 0.1339 ;  Train Accuracy: 73.30% ; Test Accuracy: 70.27%
Epoch [39/200], Loss: 0.1357 ;  Train Accuracy: 73.53% ; Test Accuracy: 73.48%
Epoch [40/200], Loss: 0.1346 ;  Train Accuracy: 72.44% ; Test Accuracy: 73.86%
Epoch [41/200], Loss: 0.1313 ;  Train Accuracy: 73.01% ; Test Accuracy: 72.73%
Epoch [42/200], Loss: 0.1310 ;  Train Accuracy: 74.91% ; Test Accuracy: 73.86%
Epoch [43/200], Loss: 0.1278 ;  Train Accuracy: 75.57% ; Test Accuracy: 71.78%
Epoch [44/200], Loss: 0.1283 ;  Train Accuracy: 75.05% ; Test Accuracy: 74.05%
Epoch [45/200], Loss: 0.1271 ;  Train Accuracy: 75.85% ; Test Accuracy: 71.40%
Epoch [46/200], Loss: 0.1271 ;  Train Accuracy: 76.18% ; Test Accuracy: 76.14%
Epoch [47/200], Loss: 0.1250 ;  Train Accuracy: 75.85% ; Test Accuracy: 75.76%
Epoch [48/200], Loss: 0.1259 ;  Train Accuracy: 75.76% ; Test Accuracy: 75.00%
Epoch [49/200], Loss: 0.1247 ;  Train Accuracy: 76.18% ; Test Accuracy: 76.89%
Epoch [50/200], Loss: 0.1235 ;  Train Accuracy: 75.95% ; Test Accuracy: 76.14%
Epoch [51/200], Loss: 0.1218 ;  Train Accuracy: 76.94% ; Test Accuracy: 75.38%
Epoch [52/200], Loss: 0.1237 ;  Train Accuracy: 75.95% ; Test Accuracy: 77.08%
